Date,Temperature,Ind,Id
2014-01-05 21:30:00,10.555,X1,236
2014-01-05 22:00:00,11.11,X1,237
2014-01-05 22:30:00,11.665,X1,238
2014-01-05 23:00:00,12.22,X1,239
2014-01-05 23:30:00,12.5,X1,240
2014-01-06 00:00:00,12.78,X1,241
2014-01-06 00:30:00,12.78,X1,242
2014-01-06 01:00:00,12.78,X1,243
2014-01-06 01:30:00,12.5,X1,244
2014-01-06 02:00:00,12.22,X1,245
2014-01-06 02:30:00,11.945,X1,246
2014-01-06 03:00:00,11.67,X1,247
2014-01-06 03:30:00,11.67,X1,248
2014-01-06 04:00:00,11.67,X1,249
2014-01-06 04:30:00,11.945,X1,250
2014-01-06 05:00:00,12.22,X1,251
2014-01-06 05:30:00,11.945,X1,252
2014-01-06 06:00:00,11.67,X1,253
2014-01-06 06:30:00,11.945,X1,254
2014-01-06 07:00:00,12.22,X1,255
2014-01-06 07:30:00,10.83,X1,256
2014-01-06 08:00:00,9.44,X1,257
2014-01-06 08:30:00,9.44,X1,258
2014-01-06 09:00:00,9.44,X1,259
2014-01-06 09:30:00,9.165,X1,260
2014-01-06 10:00:00,8.89,X1,261
2014-01-06 10:30:00,10.28,X1,262
2014-01-06 11:00:00,11.67,X1,263
2014-01-06 11:30:00,11.945,X1,264
2014-01-06 12:00:00,12.22,X1,265
2014-01-06 12:30:00,12.5,X1,266
2014-01-06 13:00:00,12.78,X1,267
2014-01-06 13:30:00,12.5,X1,268
2014-01-06 14:00:00,12.22,X1,269
2014-01-06 14:30:00,12.22,X1,270
2014-01-06 15:00:00,12.22,X1,271
2014-01-06 15:30:00,11.665,X1,272
2014-01-06 16:00:00,11.11,X1,273
2014-01-06 16:30:00,11.39,X1,274
2014-01-06 17:00:00,11.67,X1,275
2014-01-06 17:30:00,11.67,X1,276
2014-01-06 18:00:00,11.67,X1,277
2014-01-06 18:30:00,11.67,X1,278
2014-01-06 19:00:00,11.67,X1,279
2014-01-06 19:30:00,11.67,X1,280
2014-01-06 20:00:00,11.67,X1,281
2014-01-06 20:30:00,11.67,X1,282
2014-01-06 21:00:00,11.67,X1,283
2014-01-06 21:30:00,11.67,X1,284
2014-01-06 22:00:00,11.67,X1,285
2014-01-06 22:30:00,11.39,X1,286
2014-01-06 23:00:00,11.11,X1,287
2014-01-06 23:30:00,10.835,X1,288
2014-01-07 00:00:00,10.56,X1,289
2014-01-07 00:30:00,10.56,X1,290
2014-01-07 01:00:00,10.56,X1,291
2014-01-07 01:30:00,10.835,X1,292
2014-01-07 02:00:00,11.11,X1,293
2014-01-07 02:30:00,11.11,X1,294
2014-01-07 03:00:00,11.11,X1,295
2014-01-07 03:30:00,10.835,X1,296
2014-01-07 04:00:00,10.56,X1,297
2014-01-07 04:30:00,10.835,X1,298
2014-01-07 05:00:00,11.11,X1,299
2014-01-07 05:30:00,11.11,X1,300
2014-01-07 06:00:00,11.11,X1,301
2014-01-07 06:30:00,11.11,X1,302
2014-01-07 07:00:00,11.11,X1,303
2014-01-07 07:30:00,11.11,X1,304
2014-01-07 08:00:00,11.11,X1,305
2014-01-07 08:30:00,11.11,X1,306
2014-01-07 09:00:00,11.11,X1,307
2014-01-07 09:30:00,11.11,X1,308
2014-01-07 10:00:00,11.11,X1,309
2014-01-07 10:30:00,10.275,X1,310
2014-01-07 11:00:00,9.44,X1,311
2014-01-07 11:30:00,9.72,X1,312
2014-01-07 12:00:00,10,X1,313
2014-01-07 12:30:00,10.28,X1,314
2014-01-07 13:00:00,10.56,X1,315
2014-01-07 13:30:00,11.115,X1,316
2014-01-07 14:00:00,11.67,X1,317
2014-01-07 14:30:00,11.67,X1,318
2014-01-07 15:00:00,11.67,X1,319
2014-01-07 15:30:00,11.39,X1,320
2014-01-07 16:00:00,11.11,X1,321
2014-01-07 16:30:00,10.835,X1,322
2014-01-07 17:00:00,10.56,X1,323
2014-01-07 17:30:00,10.56,X1,324
2014-01-07 18:00:00,10.56,X1,325
2014-01-07 18:30:00,10.56,X1,326
2014-01-07 19:00:00,10.56,X1,327
2014-01-07 19:30:00,10.835,X1,328
2014-01-07 20:00:00,11.11,X1,329
2014-01-07 20:30:00,10.835,X1,330
2014-01-07 21:00:00,10.56,X1,331
2014-01-07 21:30:00,9.725,X1,332
2014-01-07 22:00:00,8.89,X1,333
2014-01-07 22:30:00,9.165,X1,334
2014-01-07 23:00:00,9.44,X1,335
2014-01-07 23:30:00,8.885,X1,336
2014-01-08 00:00:00,8.33,X1,337
2014-01-08 00:30:00,8.33,X1,338
2014-01-08 01:00:00,8.33,X1,339
2014-01-08 01:30:00,8.055,X1,340
2014-01-08 02:00:00,7.78,X1,341
2014-01-08 02:30:00,7.78,X1,342
2014-01-08 03:00:00,7.78,X1,343
2014-01-08 03:30:00,7.78,X1,344
2014-01-08 04:00:00,7.78,X1,345
2014-01-08 04:30:00,7.5,X1,346
2014-01-08 05:00:00,7.22,X1,347
2014-01-08 05:30:00,7.775,X1,348
2014-01-08 06:00:00,8.33,X1,349
2014-01-08 06:30:00,8.33,X1,350
2014-01-08 07:00:00,8.33,X1,351
2014-01-08 07:30:00,8.33,X1,352
2014-01-08 08:00:00,8.33,X1,353
2014-01-08 08:30:00,8.61,X1,354
2014-01-08 09:00:00,8.89,X1,355
2014-01-08 09:30:00,9.165,X1,356
2014-01-08 10:00:00,9.44,X1,357
2014-01-08 10:30:00,10.275,X1,358
2014-01-08 11:00:00,11.11,X1,359
2014-01-08 11:30:00,11.665,X1,360
2014-01-08 12:00:00,12.22,X1,361
2014-01-08 12:30:00,11.665,X1,362
2014-01-08 13:00:00,11.11,X1,363
2014-01-08 13:30:00,11.11,X1,364
2014-01-08 14:00:00,11.11,X1,365
2014-01-08 14:30:00,11.11,X1,366
2014-01-08 15:00:00,11.11,X1,367
2014-01-08 15:30:00,10.835,X1,368
2014-01-08 16:00:00,10.56,X1,369
2014-01-08 16:30:00,10.28,X1,370
2014-01-08 17:00:00,10,X1,371
2014-01-08 17:30:00,10,X1,372
2014-01-08 18:00:00,10,X1,373
2014-01-08 18:30:00,9.72,X1,374
2014-01-08 19:00:00,9.44,X1,375
2014-01-08 19:30:00,9.72,X1,376
2014-01-08 20:00:00,10,X1,377
2014-01-08 20:30:00,10.28,X1,378
2014-01-08 21:00:00,10.56,X1,379
2014-01-08 21:30:00,10.835,X1,380
2014-01-08 22:00:00,11.11,X1,381
2014-01-08 22:30:00,11.39,X1,382
2014-01-08 23:00:00,11.67,X1,383
2014-01-08 23:30:00,11.67,X1,384
2014-01-09 00:00:00,11.67,X1,385
2014-01-09 00:30:00,11.945,X1,386
2014-01-09 01:00:00,12.22,X1,387
2014-01-09 01:30:00,12.22,X1,388
2014-01-09 02:00:00,12.22,X1,389
2014-01-09 02:30:00,12.22,X1,390
2014-01-09 03:00:00,12.22,X1,391
2014-01-09 03:30:00,11.945,X1,392
2014-01-09 04:00:00,11.67,X1,393
2014-01-09 04:30:00,11.115,X1,394
2014-01-09 05:00:00,10.56,X1,395
2014-01-09 05:30:00,10.835,X1,396
2014-01-09 06:00:00,11.11,X1,397
2014-01-09 06:30:00,10.835,X1,398
2014-01-09 07:00:00,10.56,X1,399
2014-01-09 07:30:00,10,X1,400
2014-01-09 08:00:00,9.44,X1,401
2014-01-09 08:30:00,9.165,X1,402
2014-01-09 09:00:00,8.89,X1,403
2014-01-09 09:30:00,8.89,X1,404
2014-01-09 10:00:00,8.89,X1,405
2014-01-09 10:30:00,8.61,X1,406
2014-01-09 11:00:00,8.33,X1,407
2014-01-09 11:30:00,8.33,X1,408
2014-01-09 12:00:00,8.33,X1,409
2014-01-09 12:30:00,8.885,X1,410
2014-01-09 13:00:00,9.44,X1,411
2014-01-09 13:30:00,9.165,X1,412
2014-01-09 14:00:00,8.89,X1,413
2014-01-09 14:30:00,8.89,X1,414
2014-01-09 15:00:00,8.89,X1,415
2014-01-09 15:30:00,8.61,X1,416
2014-01-09 16:00:00,8.33,X1,417
2014-01-09 16:30:00,7.775,X1,418
2014-01-09 17:00:00,7.22,X1,419
2014-01-09 17:30:00,7.22,X1,420
2014-01-09 18:00:00,7.22,X1,421
2014-01-09 18:30:00,6.945,X1,422
2014-01-09 19:00:00,6.67,X1,423
2014-01-09 19:30:00,6.115,X1,424
2014-01-09 20:00:00,5.56,X1,425
2014-01-09 20:30:00,5.56,X1,426
2014-01-09 21:00:00,5.56,X1,427
2014-01-09 21:30:00,5.56,X1,428
2014-01-09 22:00:00,5.56,X1,429
2014-01-09 22:30:00,5.28,X1,430
2014-01-09 23:00:00,5,X1,431
2014-01-09 23:30:00,5,X1,432
2014-01-10 00:00:00,5,X1,433
2014-01-10 00:30:00,4.72,X1,434
2014-01-10 01:00:00,4.44,X1,435
2014-01-10 01:30:00,4.44,X1,436
2014-01-10 02:00:00,4.44,X1,437
2014-01-10 02:30:00,4.165,X1,438
2014-01-10 03:00:00,3.89,X1,439
2014-01-10 03:30:00,3.89,X1,440
2014-01-10 04:00:00,3.89,X1,441
2014-01-10 04:30:00,3.61,X1,442
2014-01-10 05:00:00,3.33,X1,443
2014-01-10 05:30:00,3.33,X1,444
2014-01-10 06:00:00,3.33,X1,445
2014-01-10 06:30:00,3.61,X1,446
2014-01-10 07:00:00,3.89,X1,447
2014-01-10 07:30:00,3.335,X1,448
2014-01-10 08:00:00,2.78,X1,449
2014-01-10 08:30:00,3.055,X1,450
2014-01-10 09:00:00,3.33,X1,451
2014-01-10 09:30:00,4.445,X1,452
2014-01-10 10:00:00,5.56,X1,453
2014-01-10 10:30:00,7.5,X1,454
2014-01-10 11:00:00,9.44,X1,455
2014-01-10 11:30:00,9.44,X1,456
2014-01-10 12:00:00,9.44,X1,457
2014-01-10 12:30:00,10,X1,458
2014-01-10 13:00:00,10.56,X1,459
2014-01-10 13:30:00,10.28,X1,460
2014-01-10 14:00:00,10,X1,461
2014-01-10 14:30:00,10,X1,462
2014-01-10 15:00:00,10,X1,463
2014-01-10 15:30:00,10,X1,464
